pid,did,at,Department,time_block
59,4,0,0,1
41,5,0,0,1
90,6,0,0,0
73,7,0,0,1
43,8,0,0,0
16,9,0,0,1
16,10,0,0,0
73,1,0,0,0
46,2,0,0,1
39,3,0,0,0
31,4,0,0,1
65,5,0,0,1
30,6,0,0,0
29,7,0,0,1
11,8,0,0,0
49,9,0,0,1
81,10,0,0,0
41,1,0,0,0
65,2,0,0,1
84,3,0,0,0
78,4,0,0,1
84,5,0,0,1
21,6,0,0,0
16,7,0,0,1
34,8,0,0,0
75,9,0,0,1
20,10,0,0,0
21,1,0,0,0
85,2,0,0,1
16,3,0,0,0
37,4,0,0,1
26,5,0,0,1
85,6,0,0,0
23,7,0,0,1
33,8,0,0,0
10,9,0,0,1
11,10,0,0,0
11,1,0,0,0
35,2,0,0,1
9,3,0,0,0
54,4,0,0,1
66,5,0,0,1
63,6,0,0,0
53,7,0,0,1
42,8,0,0,0
61,9,0,0,1
79,10,0,0,0
69,1,0,0,0
58,2,0,0,1
37,3,0,0,0
3,4,0,0,1
47,5,0,0,1
23,6,0,0,0
63,7,0,0,1
63,8,0,0,0
85,9,0,0,1
13,10,0,0,0
52,1,0,0,0
1,2,0,0,1
83,3,0,0,0
83,4,0,0,1
11,5,0,0,1
48,6,0,0,0
67,7,0,0,1
74,8,0,0,0
79,9,0,0,1
75,10,0,0,0
36,1,0,0,0
90,2,0,0,1
66,3,0,0,0
75,4,0,0,1
87,5,0,0,1
87,6,0,0,0
15,7,0,0,1
37,8,0,0,0
78,9,0,0,1
46,10,0,0,0
40,1,0,0,0
42,2,0,0,1
23,3,0,0,0
12,4,0,0,1
3,5,0,0,1
82,6,0,0,0
20,7,0,0,1
12,8,0,0,0
88,9,0,0,1
25,10,0,0,0
24,1,0,0,0
47,2,0,0,1
15,3,0,0,0
86,4,0,0,1
15,5,0,0,1
57,6,0,0,0
31,7,0,0,1
84,8,0,0,0
82,9,0,0,1
68,10,0,0,0
61,1,0,0,0
88,2,0,0,1
61,3,0,0,0
23,4,0,0,1
10,5,0,0,1
58,6,0,0,0
83,7,0,0,1
39,8,0,0,0
22,9,0,0,1
44,10,0,0,0
81,1,0,0,0
62,2,0,0,1
46,3,0,0,0
81,4,0,0,1
25,5,0,0,1
60,6,0,0,0
68,7,0,0,1
71,8,0,0,0
71,9,0,0,1
58,10,0,0,0
67,1,0,0,0
66,2,0,0,1
43,3,0,0,0
43,4,0,0,1
34,5,0,0,1
88,6,0,0,0
14,7,0,0,1
38,8,0,0,0
41,9,0,0,1
84,10,0,0,0
8,1,0,0,0
30,2,0,0,1
77,3,0,0,0
4,4,0,0,1
55,5,0,0,1
4,6,0,0,0
38,7,0,0,1
62,8,0,0,0
28,9,0,0,1
40,10,0,0,0
27,1,0,0,0
82,2,0,0,1
22,3,0,0,0
26,4,0,0,1
62,5,0,0,1
15,6,0,0,0
90,7,0,0,1
89,8,0,0,0
67,9,0,0,1
47,10,0,0,0
30,1,0,0,0
8,2,0,0,1
50,3,0,0,0
72,4,0,0,1
59,5,0,0,1
71,6,0,0,0
82,7,0,0,1
76,8,0,0,0
89,9,0,0,1
17,10,0,0,0
57,1,0,0,0
69,2,0,0,1
38,3,0,0,0
17,4,0,0,1
57,5,0,0,1
5,6,0,0,0
1,7,0,0,1
59,8,0,0,0
55,9,0,0,1
43,10,0,0,0
70,1,0,0,0
21,2,0,0,1
32,3,0,0,0
74,4,0,0,1
29,5,0,0,1
67,6,0,0,0
21,7,0,0,1
52,8,0,0,0
18,9,0,0,1
80,10,0,0,0
80,1,0,0,0
2,2,0,0,1
7,3,0,0,0
77,4,0,0,1
54,5,0,0,1
72,6,0,0,0
10,7,0,0,1
27,8,0,0,0
5,9,0,0,1
29,10,0,0,0
